agent_id,residence,age_group,transport_pref,sensibility,doctor,home_x,home_y,work_x,work_y,initial_epi_state
0,sparse_periphery,young,walking,0.902587,0,2,51,50,35,SUSCEPTIBLE
1,dense_periphery,adult,car,0.244403,1,8,10,54,68,SUSCEPTIBLE
2,sparse_periphery,young,public_transit,0.287418,0,17,38,50,58,SUSCEPTIBLE
3,sparse_periphery,child,walking,0.961501,1,82,64,42,68,SUSCEPTIBLE
4,sparse_periphery,young,walking,0.312223,1,33,29,52,57,SUSCEPTIBLE
5,sparse_periphery,young,walking,0.91755,1,36,16,39,45,SUSCEPTIBLE
6,sparse_periphery,adult,car,0.633327,1,92,22,67,57,SUSCEPTIBLE
7,dense_periphery,young,walking,0.339979,1,5,17,40,33,SUSCEPTIBLE
8,sparse_periphery,young,public_transit,0.796103,1,66,81,40,61,SUSCEPTIBLE
9,dense_periphery,young,car,0.376525,1,1,1,57,67,SUSCEPTIBLE
10,sparse_periphery,adult,public_transit,0.745052,0,63,82,54,46,SUSCEPTIBLE
11,sparse_periphery,young,walking,0.867264,1,94,24,56,51,SUSCEPTIBLE
12,sparse_periphery,young,car,0.832461,1,71,78,51,51,SUSCEPTIBLE
13,sparse_periphery,young,walking,0.942086,1,19,45,66,64,SUSCEPTIBLE
14,dense_periphery,adult,public_transit,0.143424,0,11,17,49,33,SUSCEPTIBLE
15,dense_periphery,young,public_transit,0.227288,1,9,8,45,67,SUSCEPTIBLE
16,dense_periphery,young,walking,0.49171,0,0,13,30,68,SUSCEPTIBLE
17,dense_periphery,senior,car,0.614736,1,0,10,55,67,SUSCEPTIBLE
18,dense_periphery,adult,walking,0.226094,0,3,6,49,51,SUSCEPTIBLE
19,sparse_periphery,child,public_transit,0.891672,1,48,72,44,50,SUSCEPTIBLE
20,dense_periphery,adult,public_transit,0.322385,0,0,0,52,48,SUSCEPTIBLE
21,sparse_periphery,child,car,0.875652,1,51,77,52,31,SUSCEPTIBLE
22,dense_periphery,senior,public_transit,0.020629,0,2,18,46,40,SUSCEPTIBLE
23,sparse_periphery,adult,public_transit,0.689642,0,47,25,57,62,SUSCEPTIBLE
24,sparse_periphery,senior,public_transit,0.686859,1,52,14,66,60,SUSCEPTIBLE
25,dense_periphery,young,public_transit,0.068132,0,10,18,57,32,SUSCEPTIBLE
26,dense_periphery,adult,walking,0.29202,1,0,5,53,36,SUSCEPTIBLE
27,sparse_periphery,senior,public_transit,0.459528,1,29,28,31,61,SUSCEPTIBLE
28,dense_periphery,young,public_transit,0.177946,0,5,0,67,44,SUSCEPTIBLE
29,sparse_periphery,child,public_transit,0.520454,0,67,19,41,47,SUSCEPTIBLE
30,sparse_periphery,adult,walking,0.826148,1,85,84,54,37,SUSCEPTIBLE
31,dense_periphery,adult,public_transit,0.14865,1,9,18,65,61,SUSCEPTIBLE
32,dense_periphery,adult,public_transit,0.141363,1,11,6,62,65,SUSCEPTIBLE
33,sparse_periphery,young,car,0.273614,1,95,11,51,58,SUSCEPTIBLE
34,sparse_periphery,adult,walking,0.791904,1,83,95,64,62,SUSCEPTIBLE
35,dense_periphery,adult,public_transit,0.538641,0,4,18,37,45,SUSCEPTIBLE
36,sparse_periphery,young,public_transit,0.447998,0,14,64,34,35,SUSCEPTIBLE
37,sparse_periphery,adult,car,0.795877,0,97,18,30,58,SUSCEPTIBLE
38,sparse_periphery,young,car,0.725196,1,77,27,45,33,SUSCEPTIBLE
39,sparse_periphery,adult,walking,0.768886,1,8,75,37,31,SUSCEPTIBLE
40,sparse_periphery,adult,public_transit,0.498739,0,94,42,51,57,SUSCEPTIBLE
41,sparse_periphery,adult,public_transit,0.60229,0,99,65,47,35,SUSCEPTIBLE
42,sparse_periphery,senior,walking,0.819881,0,36,98,47,69,SUSCEPTIBLE
43,dense_periphery,adult,walking,0.224272,1,8,1,35,42,SUSCEPTIBLE
44,sparse_periphery,young,walking,0.375705,1,82,38,64,37,SUSCEPTIBLE
45,sparse_periphery,senior,public_transit,0.508595,1,76,9,47,46,SUSCEPTIBLE
46,sparse_periphery,adult,walking,0.854025,0,50,1,64,30,SUSCEPTIBLE
47,sparse_periphery,young,public_transit,0.645466,0,86,56,51,56,SUSCEPTIBLE
48,sparse_periphery,young,public_transit,0.710843,1,68,95,36,51,SUSCEPTIBLE
49,dense_periphery,senior,walking,0.185031,1,1,2,31,56,SUSCEPTIBLE
50,sparse_periphery,adult,public_transit,0.494446,0,54,74,69,58,SUSCEPTIBLE
51,dense_periphery,senior,walking,0.190215,1,9,9,35,42,SUSCEPTIBLE
52,dense_periphery,senior,public_transit,0.400401,1,8,12,63,34,SUSCEPTIBLE
53,dense_periphery,young,public_transit,0.496076,1,11,3,34,64,SUSCEPTIBLE
54,dense_periphery,senior,public_transit,0.357437,0,1,14,58,68,EXPOSED
55,sparse_periphery,adult,public_transit,0.497627,0,79,27,49,53,SUSCEPTIBLE
56,sparse_periphery,young,public_transit,0.924184,1,76,43,33,62,SUSCEPTIBLE
57,dense_periphery,adult,car,0.699793,0,11,2,30,34,SUSCEPTIBLE
58,sparse_periphery,young,public_transit,0.753194,0,70,49,52,69,SUSCEPTIBLE
59,dense_periphery,young,public_transit,0.145736,0,7,9,30,39,SUSCEPTIBLE
60,dense_periphery,young,car,0.040915,1,8,1,32,49,SUSCEPTIBLE
61,sparse_periphery,young,public_transit,0.672874,0,82,55,30,67,SUSCEPTIBLE
62,sparse_periphery,young,walking,0.467787,1,94,79,39,65,SUSCEPTIBLE
63,sparse_periphery,young,public_transit,0.903745,0,2,50,69,47,SUSCEPTIBLE
64,dense_periphery,adult,car,0.438763,0,0,11,31,55,SUSCEPTIBLE
65,dense_periphery,child,walking,0.037837,1,10,2,32,52,SUSCEPTIBLE
66,sparse_periphery,senior,public_transit,0.241154,0,20,26,67,60,SUSCEPTIBLE
67,sparse_periphery,child,public_transit,0.521488,0,68,13,38,51,SUSCEPTIBLE
68,dense_periphery,adult,car,0.381017,1,10,15,46,32,SUSCEPTIBLE
69,sparse_periphery,senior,public_transit,0.720519,1,70,37,30,66,SUSCEPTIBLE
70,sparse_periphery,adult,car,0.70359,0,9,76,63,58,SUSCEPTIBLE
71,dense_periphery,adult,walking,0.085672,1,11,0,62,58,SUSCEPTIBLE
72,sparse_periphery,adult,public_transit,0.479006,0,35,15,46,53,SUSCEPTIBLE
73,dense_periphery,child,public_transit,0.305752,0,8,2,33,64,SUSCEPTIBLE
74,dense_periphery,child,car,0.125604,1,9,15,31,62,SUSCEPTIBLE
75,sparse_periphery,child,car,0.356076,1,56,85,49,37,SUSCEPTIBLE
76,sparse_periphery,child,public_transit,0.688077,0,95,62,60,50,SUSCEPTIBLE
77,sparse_periphery,adult,walking,0.794347,1,87,69,67,63,SUSCEPTIBLE
78,sparse_periphery,young,public_transit,0.724687,1,92,98,37,37,SUSCEPTIBLE
79,sparse_periphery,young,public_transit,0.778986,1,62,88,57,41,SUSCEPTIBLE
80,sparse_periphery,adult,car,0.817619,0,24,85,61,32,SUSCEPTIBLE
81,sparse_periphery,child,public_transit,0.721058,1,91,93,49,69,SUSCEPTIBLE
82,sparse_periphery,young,walking,0.232123,0,71,43,39,37,SUSCEPTIBLE
83,sparse_periphery,senior,public_transit,0.282279,0,27,71,65,50,SUSCEPTIBLE
84,dense_periphery,adult,public_transit,0.397436,1,5,4,37,38,SUSCEPTIBLE
85,sparse_periphery,child,public_transit,0.912089,0,16,19,38,47,SUSCEPTIBLE
86,sparse_periphery,adult,public_transit,0.882916,1,53,11,46,38,SUSCEPTIBLE
87,sparse_periphery,young,walking,0.380431,1,79,4,41,49,SUSCEPTIBLE
88,dense_periphery,young,public_transit,0.36355,0,4,3,53,51,SUSCEPTIBLE
89,sparse_periphery,young,public_transit,0.69447,0,58,83,41,43,SUSCEPTIBLE
90,dense_periphery,adult,public_transit,0.518473,0,14,0,69,52,SUSCEPTIBLE
91,sparse_periphery,adult,public_transit,0.492647,0,25,87,36,45,SUSCEPTIBLE
92,sparse_periphery,young,car,0.44462,1,27,42,46,62,SUSCEPTIBLE
93,sparse_periphery,senior,car,0.277557,1,86,54,53,63,EXPOSED
94,sparse_periphery,young,public_transit,0.518544,0,28,23,44,45,SUSCEPTIBLE
95,sparse_periphery,senior,walking,0.584434,1,20,19,43,39,SUSCEPTIBLE
96,dense_periphery,adult,walking,0.258522,1,10,13,52,49,SUSCEPTIBLE
97,sparse_periphery,senior,public_transit,0.897168,1,17,98,54,59,SUSCEPTIBLE
98,sparse_periphery,child,walking,0.668925,1,85,80,56,37,SUSCEPTIBLE
99,dense_periphery,child,public_transit,0.225826,0,7,11,49,52,SUSCEPTIBLE
100,sparse_periphery,senior,public_transit,0.714344,1,68,71,53,57,SUSCEPTIBLE
101,sparse_periphery,senior,car,0.447491,0,67,18,35,37,SUSCEPTIBLE
102,sparse_periphery,adult,public_transit,0.715714,1,20,96,50,34,SUSCEPTIBLE
103,sparse_periphery,child,walking,0.770105,0,31,19,48,52,SUSCEPTIBLE
